S.No,Name,Family,Genus,Order,Kingdom,Suitable Soil pH
1,Jasmine,Oleaceae,Jasminum; L.,Lamiales, Plantae,4.9-8.3
2,Curcuma caesia,Zingiberaceae,Curcuma,Zingiberales,Plantae,4.5-6.5
3,Curry Tree,Rutaceae,Murraya,Sapindales,Plantae,5.6-6
4,Indian gooseberry,Phyllanthaceae,Phyllanthus,Malpighiales,Plantae,6.5-9.5
5,Hibiscus,Malvaceae,Hibiscus,Malvales,Plantae,5.5-6.5
6,Rose apple,Myrtaceae,Syzygium,Myrtales,Plantae,5.5-6.5
7,Passiflora incarnata (Purple),Passifloraceae,Passiflora,Malpighiales,Plantae,6.1-7.5
8,White-fleshed pitahaya,Cactaceae,Selenicereus,Caryophyllales,Plantae,5.5-6.5
9,Chrysanthemums,Asteraceae,Chrysanthemum,Asterales,Plantae,6.5-7.0
10,Mentha,Mints,Mentha,Lamiales,Plantae,6.0-7.5
11,Sapodilla,Sapotaceae,Manilkara,Heathers and allies,Plantae,6.0-8.0
12,Snake gourd,Cucurbitaceae,Trichosanthes,Cucurbitales,Plantae,6.0-7.0
13,Key lime,Rutaceae,Citrus,Sapindales,Plantae,5.5-7.5
14,Cucumber,Cucurbitaceae,Cucumis,Cucurbitales,Plantae,6.0-8.5
15,Trailing arbutus,Ericaceae,Epigaea,Heathers and allies,Plantae,6.1-6.8
16,Betel,Piperaceae,Pepper plants,Piperales,Plantae,5.6-8.2
17,Rose ,Rosaceae,Rosa,Rosales,Plantae,6.0-6.5
18,Wild sweetsop,Annonaceae,Annona reticulata,Magnoliales,Plantae,5.0-8.0
19,Jack tree,Moraceae,Artocarpus,Rosales,Plantae,6.0-6.5
20,Cymbopogon citratus,Poaceae,Fress Lemongrass,Poales,Plantae,5.0-5.8
21,Amorphophallus paeoniifolius,Araceae,Amorphophallus,Alismatales,Plantae,5.5-7.0
22,Chamaecostus cuspidatus,Costaceae,Chamaecostus,Zingiberales,Plantae,6.5-7.5
23,Nyctanthes arbor-tristis,Oleaceae,Nyctanthes,Lamiales,Plantae,5.6-6.0
24,Amaranthus,Amarnathaceae,Amaranthus;L,Caryophyllales,Plantae,4.5-8.0
25,Calabash,Cucurbitaceae,Lagenaria,Cucurbitales,Plantae,6.5-7.5
26,Saussurea obvallata ,Asteraceae,Saussurea,Asterales,Plantae,6.5-7.5
27,Leonotis nepetifolia,Lamiaceae,Leonotis,Lamiales,Plantae,4.6-6.5
28,Lawsonia inermis(Henna),Lythraceae,Lawsonia,Myrtales,Plantae,5.6-5.9
29,Spine gourd,Cucurbits,Momordica,Cucurbitales,Plantae,6.0-7.0
30,Clitoria ternatea,Fabaceae,Clitoria,Fabales,Plantae,5.5-8.9
31,Ziziphus mauritiana,Rhamnaceae,Jujube,Rosales,Plantae,9.2
32,Tinospora cordifolia,Menispermaceae,Tinospora,Ranunculales,Plantae,6.2-7.6
33,Moringa oleifera,Moringaceae,Moringa,Brassicales,Plantae,4.5-8.5
34,Mangifera indica,Anacardiaceae,Mangifera,Sapindales,Plantae,5.5-7.5
35,Echinochloa colona,Poaceae,Barnyard grasses,Poales,Plantae,5.5-6.5
36,Ocimum tenuiflorum,Lamiaceae,Basil,Lamiales,Plantae,6.0-7.5
37,Ajwain,Apiaceae,Trachyspermum,Apiales,Plantae,6.5-7.5
38,Camellia sinensis,Theaceae,Camellia,Ericales,Plantae,4.2
39,Aegle marmelos,Rutaceae,"Aegle,Correa",Sapindales,Plantae,5.0-10.0
40,Epipremnum aureum,Araceae,Epipremnum,Alismatales,Plantae,6.1-6.5
